,Usage
1269,60.6
1270,230.7
1271,6.1
1272,82.6
1273,23.8
1274,78.3
1275,123.7
1276,1.1
1277,1.8
1278,26.5
1279,2.4
1280,6.0
1281,1.7
1282,2.0
1283,3.8
1284,111.3
1285,122.5
1286,210.8
1287,69.0
1288,276.9
1289,33.3
1290,27.1
1291,44.2
1292,3.6
1293,74.3
1294,282.1
1295,180.7
1296,362.2
1297,12.3
1298,17.2
1299,153.8
1300,150.8
1301,121.0
1302,62.3
1303,245.8
1304,6.4
1305,82.7
1306,24.4
1307,83.3
1308,124.9
1309,1.2
1310,2.1
1311,25.9
1312,2.4
1313,5.8
1314,1.6
1315,2.3
1316,4.1
1317,108.5
1318,117.4
1319,205.0
1320,64.8
1321,281.4
1322,33.2
1323,26.7
1324,43.9
1325,3.5
1326,74.1
1327,278.5
1328,184.0
1329,360.6
1330,12.3
1331,17.2
1332,155.2
1333,150.5
1334,142.8
1335,65.0
1336,253.6
1337,6.8
1338,79.5
1339,23.9
1340,84.1
1341,123.3
1342,1.2
1343,2.1
1344,25.2
1345,2.5
1346,5.8
1347,1.9
1348,2.1
1349,4.1
1350,98.8
1351,104.3
1352,202.4
1353,61.2
1354,268.8
1355,30.3
1356,24.9
1357,42.2
1358,3.1
1359,74.4
1360,261.9
1361,181.7
1362,357.5
1363,12.3
1364,17.2
1365,157.5
1366,147.6
1367,141.7
1368,60.3
1369,243.0
1370,6.3
1371,77.9
1372,23.6
1373,84.0
1374,116.8
1375,1.1
1376,1.9
1377,24.5
1378,2.6
1379,5.9
1380,1.7
1381,2.3
1382,4.1
1383,104.6
1384,118.9
1385,232.8
1386,71.8
1387,261.4
1388,38.5
1389,29.6
1390,48.5
1391,3.8
1392,73.7
1393,317.3
1394,228.3
1395,394.1
1396,9.8
1397,17.9
1398,149.2
1399,141.7
1400,205.3
1401,68.8
1402,295.0
1403,7.1
1404,72.2
1405,21.6
1406,82.3
1407,124.4
1408,1.3
1409,2.2
1410,23.9
1411,2.8
1412,6.3
1413,1.9
1414,2.1
1415,3.9
1416,109.7
1417,125.6
1418,236.7
1419,71.7
1420,264.7
1421,38.6
1422,30.2
1423,48.9
1424,3.8
1425,75.1
1426,322.3
1427,233.3
1428,399.5
1429,11.5
1430,18.2
1431,148.1
1432,157.0
1433,204.5
1434,70.1
1435,297.2
1436,7.3
1437,72.6
1438,23.9
1439,80.3
1440,125.4
1441,1.5
1442,2.1
1443,23.6
1444,2.5
1445,6.3
1446,1.8
1447,2.2
1448,3.6
1449,112.8
1450,129.1
1451,237.0
1452,72.7
1453,272.5
1454,40.2
1455,31.5
1456,49.4
1457,4.0
1458,76.1
1459,321.8
1460,235.5
1461,405.3
1462,11.5
1463,18.1
1464,151.5
1465,162.6
1466,211.1
1467,70.9
1468,304.7
1469,7.2
1470,74.7
1471,24.3
1472,76.4
1473,126.8
1474,1.6
1475,2.2
1476,23.7
1477,2.9
1478,5.9
1479,1.9
1480,2.1
1481,3.7
1482,110.7
1483,126.4
1484,235.2
1485,71.6
1486,272.5
1487,40.5
1488,30.9
1489,47.3
1490,3.9
1491,78.4
1492,326.9
1493,237.0
1494,403.4
1495,11.5
1496,18.1
1497,150.5
1498,166.8
1499,213.0
1500,70.8
1501,301.5
1502,7.2
1503,73.6
1504,25.0
1505,75.6
1506,128.6
1507,1.5
1508,2.2
1509,23.5
1510,2.9
1511,6.2
1512,1.9
1513,2.2
1514,3.7
1515,109.5
1516,125.1
1517,236.6
1518,71.3
1519,268.0
1520,35.7
1521,30.4
1522,42.9
1523,3.9
1524,78.8
1525,322.6
1526,237.1
1527,399.3
1528,11.5
1529,17.6
1530,159.5
1531,167.8
1532,217.6
1533,70.6
1534,302.2
1535,7.1
1536,73.3
1537,24.8
1538,73.5
1539,132.4
1540,1.5
1541,2.2
1542,23.8
1543,2.7
1544,6.3
1545,1.8
1546,2.2
1547,3.8
1548,106.7
1549,127.3
1550,234.3
1551,69.2
1552,270.0
1553,39.6
1554,29.8
1555,49.4
1556,3.6
1557,78.1
1558,319.9
1559,238.5
1560,403.5
1561,11.5
1562,17.9
1563,160.8
1564,169.7
1565,212.9
1566,70.2
1567,294.6
1568,6.6
1569,74.1
1570,24.4
1571,74.4
1572,127.1
1573,1.4
1574,2.2
1575,23.9
1576,2.8
1577,6.2
1578,1.9
1579,2.2
1580,4.3
1581,101.5
1582,118.2
1583,232.0
1584,67.0
1585,264.3
1586,36.6
1587,27.4
1588,48.9
1589,3.3
1590,79.0
1591,312.3
1592,235.3
1593,392.4
1594,11.9
1595,17.8
1596,159.1
1597,172.1
1598,200.4
1599,64.3
1600,282.4
1601,6.5
1602,74.0
1603,23.4
1604,73.3
1605,119.8
1606,1.2
1607,2.2
1608,22.6
1609,2.9
1610,6.2
1611,2.0
1612,2.2
1613,3.6
1614,155.9
1615,165.3
1616,248.1
1617,111.8
1618,428.2
1619,45.0
1620,28.9
1621,46.7
1622,5.2
1623,94.3
1624,385.7
1625,224.0
1626,509.5
1627,12.4
1628,14.6
1629,197.0
1630,176.0
1631,194.9
1632,85.6
1633,345.5
1634,9.2
1635,105.3
1636,28.2
1637,96.5
1638,185.5
1639,1.3
1640,2.2
1641,25.2
1642,2.5
1643,4.7
1644,1.5
1645,2.2
1646,5.0
1647,166.3
1648,173.6
1649,257.9
1650,114.9
1651,435.6
1652,46.5
1653,29.4
1654,47.8
1655,5.4
1656,89.0
1657,391.1
1658,227.4
1659,516.4
1660,11.8
1661,17.4
1662,201.0
1663,181.8
1664,214.1
1665,88.1
1666,356.2
1667,9.4
1668,108.7
1669,28.5
1670,89.5
1671,186.1
1672,1.3
1673,2.1
1674,28.0
1675,2.7
1676,5.0
1677,1.7
1678,2.0
1679,5.0
1680,175.9
1681,179.3
1682,256.2
1683,121.6
1684,444.4
1685,46.3
1686,29.2
1687,47.2
1688,5.6
1689,85.0
1690,389.9
1691,226.3
1692,515.8
1693,12.3
1694,16.7
1695,197.1
1696,186.6
1697,206.3
1698,79.6
1699,345.2
1700,8.9
1701,107.7
1702,28.2
1703,86.6
1704,198.1
1705,1.1
1706,2.2
1707,28.6
1708,2.8
1709,5.3
1710,1.8
1711,2.1
1712,5.6
1713,183.6
1714,185.9
1715,250.0
1716,128.1
1717,469.0
1718,46.7
1719,30.3
1720,47.0
1721,6.0
1722,88.6
1723,394.1
1724,226.4
1725,509.6
1726,12.3
1727,17.8
1728,183.2
1729,177.5
1730,213.1
1731,85.1
1732,349.5
1733,9.3
1734,92.4
1735,26.3
1736,91.6
1737,189.0
1738,1.0
1739,2.1
1740,27.0
1741,2.5
1742,4.9
1743,1.7
1744,2.2
1745,5.3
1746,188.8
1747,189.1
1748,255.7
1749,131.6
1750,445.2
1751,47.8
1752,30.5
1753,47.4
1754,6.2
1755,86.2
1756,392.8
1757,226.6
1758,505.9
1759,12.3
1760,16.5
1761,196.3
1762,181.2
1763,212.7
1764,84.1
1765,343.0
1766,9.2
1767,80.5
1768,24.8
1769,96.6
1770,175.9
1771,1.2
1772,2.1
1773,26.7
1774,2.4
1775,4.9
1776,1.7
1777,2.1
1778,4.8
1779,186.4
1780,188.4
1781,261.6
1782,132.2
1783,438.9
1784,47.7
1785,28.8
1786,42.3
1787,6.4
1788,37.2
1789,393.0
1790,223.9
1791,500.6
1792,12.3
1793,17.2
1794,197.3
1795,170.9
1796,198.9
1797,81.7
1798,336.8
1799,8.6
1800,99.7
1801,25.3
1802,96.8
1803,176.0
1804,1.2
